EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
12.3048780488	12.3048780488	0.0103511	0.559734	0.00284871498044	-0.00551016531357	1009
13.25	13.25	0.0131559	0.628418	-0.00413613266747	-0.0104304000355	2016
16.1935483871	16.1935483871	0.0163525	0.676947	-0.0052373228985	-0.00922180767164	3020
21.0625	21.0625	0.0165295	0.692271	-0.00431296734321	-0.00697816473664	4031
21.4680851064	21.4680851064	0.00887801	0.684312	-0.0015567390868	-0.00246058237136	5040
24.7317073171	24.7317073171	0.00383908	0.671488	-0.00113002423578	-0.0020665424844	6054
24.5853658537	24.5853658537	0.000874397	0.671806	-0.000276354722968	-0.00382365680518	7062
22.0217391304	22.0217391304	0.00179521	0.669162	-0.00628046098548	-0.01497537461	8075
22.7727272727	22.7727272727	0.00307614	0.663845	-0.00823910946817	-0.0157023286707	9077
27.3513513514	27.3513513514	0.0032669	0.667051	-0.00913579604999	-0.0156165141574	10089
41.1481481481	41.1481481481	0.00364915	0.65415	-0.00639184640996	-0.0107227958687	11200
25.8717948718	25.8717948718	0.0024426	0.645103	-0.021932149066	-0.0308439715414	12209
40.04	40.04	0.00208775	0.641315	-0.0150308281141	-0.0198600227555	13210
41.04	41.04	0.00125993	0.639656	-0.0105873488589	-0.0138839881745	14236
51.85	51.85	0.000463557	0.644636	-0.00306612066057	-0.00609917402152	15273
43.25	43.25	0.000293422	0.639262	-0.0108473885623	-0.0168345566255	16311
39.8846153846	39.8846153846	0.000301231	0.633826	-0.0106732375282	-0.0171303740883	17348
40.1538461538	40.1538461538	0.000667497	0.625367	-0.0219306303815	-0.0330648464259	18392
52.6842105263	52.6842105263	0.000838675	0.624839	-0.0212013771202	-0.0286719659184	19393
62.0588235294	62.0588235294	0.000665744	0.622057	-0.0207875584488	-0.025920416032	20448
52.7368421053	52.7368421053	0.000536143	0.617596	-0.0283936403908	-0.0336145929871	21450
54.1052631579	54.1052631579	0.000499612	0.615345	-0.0324124057287	-0.038945961886	22478
56.7368421053	56.7368421053	0.000394395	0.602829	-0.0289275617258	-0.0331068417753	23556
59.2352941176	59.2352941176	0.000170292	0.611862	-0.0451163371467	-0.0509732987449	24563
60.2352941176	60.2352941176	0.000104882	0.60477	-0.0508626299474	-0.0561243905073	25587
59.5882352941	59.5882352941	0.000108232	0.593897	-0.0466422453838	-0.0505525472273	26600
68.4	68.4	0.00011155	0.5968	-0.0761553697486	-0.0831491271442	27626
66.9333333333	66.9333333333	9.80267e-05	0.587943	-0.0885658251671	-0.0923881056359	28630
65.5625	65.5625	0.000109534	0.594395	-0.0795543586196	-0.0825377055732	29679
68.4	68.4	0.000183103	0.594116	-0.0719694490207	-0.0750014028418	30705
