EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1311.80058935	200.0	6.19347e-05	2.16931	-0.000645713404239	-0.00189682091932	2600
-1491.24175993	200.0	7.53748e-05	2.17082	-0.00137126714229	-0.00251837248123	5200
-1321.38300945	200.0	0.000236324	2.17127	-0.00248786041914	-0.00428809983518	7800
-1107.5993849	200.0	0.000584183	2.17186	-0.00362080147429	-0.00619469590378	10400
-1200.59846395	200.0	0.00142823	2.17355	-0.0107569088709	-0.017410839563	13000
-1187.3755521	200.0	0.00177358	2.17419	-0.0163303907577	-0.024983504924	15600
-1182.68531231	200.0	0.00228247	2.1733	-0.0250048563202	-0.0399303910496	18200
-1202.72092504	200.0	0.000936439	2.17174	-0.0433706513419	-0.0680619165331	20800
-1132.31031045	200.0	0.000296029	2.17053	-0.02672669157	-0.0533070407581	23400
-1198.55203485	200.0	0.000516947	2.16806	-0.111606653078	-0.169464011964	26000
-1148.76953993	200.0	0.0040836	2.1632	-0.142239604381	-0.216925600255	28600
-1083.50593379	200.0	0.0013627	2.15792	-0.166960865912	-0.252370820958	31200
-1213.04105843	200.0	0.00109218	2.15368	-0.250102895742	-0.330776089381	33800
-1262.89994084	200.0	0.000421807	2.14933	-0.31304781119	-0.409739807491	36400
-1255.70322604	200.0	0.000477203	2.14396	-0.49207547638	-0.635796747295	39000
-1230.4589372	200.0	0.000471784	2.13396	-0.556083990346	-0.709934757579	41600
-1152.15219502	200.0	0.00240757	2.12182	-0.944144948139	-1.18846597972	44200
-1095.41548901	200.0	0.00605719	2.10681	-1.32888195283	-1.59043267132	46800
-1123.99490687	200.0	0.00132943	2.09547	-1.39730511978	-1.57357982701	49400
-1164.98919968	200.0	0.00216373	2.08398	-1.54570713776	-1.70237961256	52000
-1113.77100732	200.0	0.0133057	2.07312	-2.27117270167	-2.33211527246	54600
-1219.42606591	200.0	0.00455199	2.07178	-2.31931365997	-2.21547417468	57200
-1241.66430352	200.0	0.000173765	2.07113	-2.31502741221	-2.2916848432	59800
-1177.80480289	200.0	0.000547127	2.07165	-2.045662468	-2.09505110023	62400
-1173.90328962	200.0	0.0004477	2.07557	-2.21029898523	-2.22548356652	65000
-1203.34961568	200.0	0.00348289	2.08276	-1.92450519392	-1.95914462935	67600
-1047.29946173	200.0	0.00876382	2.09407	-1.77710750454	-1.74541889492	70200
-1054.35680715	200.0	0.00145044	2.10216	-1.74831853385	-1.64731414778	72800
-1269.4578849	200.0	0.00257015	2.10869	-1.01160071271	-1.06327893221	75400
-1171.00779681	200.0	0.000502244	2.10702	-1.82374122714	-1.98942140476	78000
-1079.18374511	200.0	0.00249385	2.10844	-1.94961000478	-1.81364598133	80600
-1024.35086992	200.0	0.00163821	2.10657	-2.05477896986	-1.80841730232	83200
-1132.77430815	200.0	0.00596605	2.10446	-1.46603747074	-1.42881957518	85800
-1111.77098998	200.0	0.000306081	2.1036	-1.22839768625	-1.31386232004	88400
-1175.63327289	200.0	0.00165308	2.10433	-0.92388387495	-1.05894156456	91000
-1186.67294934	200.0	0.0026344	2.10572	-1.43348040718	-1.61394340206	93600
-1138.04655376	200.0	0.00140527	2.10457	-1.38515826413	-1.50293114672	96200
-1281.83443131	200.0	0.00267148	2.10364	-0.931469177673	-1.04168879946	98800
-1251.34913028	200.0	0.00800211	2.10051	-1.60277573346	-1.73442478228	101400
-1139.02076457	200.0	0.00224255	2.10013	-2.62413847407	-2.21805135391	104000
-1121.1217576	200.0	0.00737767	2.1007	-2.1490348868	-1.63731802741	106600
-1069.18761238	200.0	0.00471545	2.09989	-1.87042924415	-1.54125098684	109200
-1163.9989911	200.0	0.00305311	2.10038	-1.9949467694	-1.70064405043	111800
-1047.14923372	200.0	0.000346743	2.09969	-1.71997324249	-1.38968313457	114400
-1128.59353581	200.0	0.000420023	2.09684	-1.20405140286	-1.01934693265	117000
-1191.091295	200.0	0.00357955	2.09228	-1.08451263147	-1.08442741057	119600
-1021.38268125	200.0	0.00699102	2.08476	-1.00284259637	-1.01374266633	122200
-1127.27960208	200.0	0.00521037	2.08118	-0.629565279294	-0.679863449572	124800
-1184.48369568	200.0	0.00129574	2.07955	-0.534810046671	-0.633829918749	127400
-1179.19663362	200.0	0.000639229	2.07849	-0.762869017739	-0.890053728065	130000
-1199.30290758	200.0	0.00236653	2.07704	-0.895565972554	-0.989309762675	132600
-1130.51908607	200.0	0.00104516	2.07597	-0.849536024749	-0.862396790945	135200
-1087.30160659	200.0	0.00828746	2.0739	-0.951410382055	-0.874049548987	137800
-989.796426865	200.0	0.00542794	2.07361	-2.24900455263	-1.64498526358	140400
-1053.93324907	200.0	0.00129328	2.07251	-1.01737354561	-0.697643728014	143000
-956.98738564	200.0	0.000652129	2.07254	-0.828637946889	-0.576697846962	145600
-987.176227113	200.0	0.00274022	2.07161	-0.657799243302	-0.510081808995	148200
-924.862362955	200.0	0.00374663	2.06981	-0.548688678588	-0.450245793357	150800
-911.354018346	200.0	0.00722432	2.06535	-0.477788611823	-0.388465579178	153400
-859.170603704	200.0	0.00055428	2.0614	-0.366735745608	-0.257090710093	156000
-934.52440187	200.0	0.00255086	2.05541	-0.384652116508	-0.324677203018	158600
-967.167439365	200.0	0.0025441	2.04932	-0.310631787087	-0.293114544051	161200
-925.250256	200.0	0.0170756	2.04297	-0.224064033441	-0.21161764929	163800
-891.803204849	200.0	0.00321443	2.03955	-0.200508443406	-0.187179797759	166400
-931.331046309	200.0	0.0011104	2.03565	-0.170340831014	-0.168642729045	169000
-963.1283902	200.0	0.000606753	2.03059	-0.172902802778	-0.180901757974	171600
-886.535433306	200.0	0.00634818	2.02344	-0.157969763161	-0.155402467652	174200
-792.681222522	200.0	0.00177663	2.01771	-0.0800590944394	-0.0496536583544	176800
-834.833896698	200.0	0.00132811	2.01238	-0.0865261929453	-0.0662638393172	179400
